"f_1110-1"	"Points:0"	"Points:1"	"Points:2"
-0.52236	-0.35468	0.08809	0
-0.513	-0.34616	0.013487	0
-0.52475	-0.37821	-0.010688	0
-0.34429	-0.446	0.048815	0
-0.52756	-0.37288	0.039196	0
-0.23115	-0.4678	-0.017818	0
-0.19064	-0.26184	0.073833	0
-0.4768	-0.32744	0.053381	0
-0.19134	-0.26197	0.0093266	0
-0.39072	-0.43526	0.02519	0
-0.41475	-0.42899	0.012902	0
-0.2398	-0.46623	-0.072891	0
-0.47118	-0.41116	0.030349	0
-0.28468	-0.27836	-0.065404	0
-0.38799	-0.43596	-0.024074	0
-0.40543	-0.4316	-0.0029044	0
-0.31132	-0.2835	-0.049542	0
-0.47761	-0.40869	-0.040101	0
-0.4198	-0.30874	0.0275	0
-0.48753	-0.40447	0.072792	0
-0.09182	-0.48987	0.014283	0
-0.3587	-0.44286	-0.047017	0
-0.42874	-0.42517	0.089939	0
-0.48176	-0.40706	0.088391	0
-0.45914	-0.32091	-0.058464	0
-0.28135	-0.27771	0.015962	0
-0.23372	-0.46729	0.073172	0
-0.25848	-0.27352	0.034696	0
-0.50406	-0.39605	0.0017678	0
-0.20071	-0.2635	0.049936	0
-0.35882	-0.29365	0.025084	0
-0.50085	-0.3385	0.07306	0
-0.42871	-0.4251	0.03475	0
-0.51979	-0.35198	-0.0547	0
-0.35046	-0.44471	-0.090196	0
-0.3044	-0.28218	-0.022791	0
-0.52472	-0.35789	0.0015923	0
-0.31187	-0.45273	0.010407	0
-0.52763	-0.365	-0.089474	0
-0.4734	-0.4104	-0.055004	0
-0.075302	-0.49227	0.074772	0
-0.075787	-0.49221	-0.074799	0
-0.36867	-0.29581	0.068276	0
-0.39004	-0.30088	-0.016505	0
-0.092049	-0.48987	-0.014643	0
-0.51119	-0.39164	-0.027955	0
-0.45832	-0.32053	-0.038375	0
-0.42498	-0.42619	-0.034816	0
-0.46305	-0.41417	0.01312	0
-0.19323	-0.47415	0.061277	0
-0.1942	-0.47401	-0.057351	0
-0.46073	-0.41493	0.054067	0
-0.47454	-0.40986	-0.015368	0
-0.52496	-0.35796	-0.069817	0
-0.42915	-0.31141	0.040845	0
-0.35259	-0.44425	0.089373	0
-0.44461	-0.42031	-0.055083	0
-0.097122	-0.48913	0.053249	0
-0.088205	-0.49041	-0.054632	0
-0.18388	-0.26072	-0.054947	0
-0.36323	-0.29456	-0.088898	0
-0.31231	-0.45264	0.068656	0
-0.18063	-0.47625	0.08904	0
-0.46861	-0.41206	-0.089965	0
-0.47536	-0.40961	-0.074015	0
-0.50399	-0.34033	-0.044347	0
-0.1908	-0.47457	0.020358	0
-0.26392	-0.27448	-0.089879	0
-0.46221	-0.32189	-0.0082888	0
-0.3066	-0.28259	0.052967	0
-0.17851	-0.47659	-0.038697	0
